"filename", "language", "JSON", "Log", "JavaScript", "comment", "blank", "total"
"e:\FYP-WORK\FypApp\src\components\forms\AppDropDownPicker.js", "JavaScript", 0, 0, 47, 0, 5, 52
"e:\FYP-WORK\FypApp\src\components\forms\AppForm.js", "JavaScript", 0, 0, 14, 0, 3, 17
"e:\FYP-WORK\FypApp\src\components\forms\AppFormField.js", "JavaScript", 0, 0, 20, 0, 5, 25
"e:\FYP-WORK\FypApp\src\components\forms\AppFormPicker.js", "JavaScript", 0, 0, 21, 0, 4, 25
"e:\FYP-WORK\FypApp\src\components\forms\ErrorMessgae.js", "JavaScript", 0, 0, 13, 0, 4, 17
"e:\FYP-WORK\FypApp\src\components\forms\FormImageListPicker.js", "JavaScript", 0, 0, 28, 0, 7, 35
"e:\FYP-WORK\FypApp\src\components\forms\FormSingleImagePicker.js", "JavaScript", 0, 0, 48, 0, 9, 57
"e:\FYP-WORK\FypApp\src\components\forms\SubmitButton.js", "JavaScript", 0, 0, 8, 0, 4, 12
"e:\FYP-WORK\FypApp\src\components\image\ImageInput.js", "JavaScript", 0, 0, 70, 0, 9, 79
"e:\FYP-WORK\FypApp\src\components\image\ImageInputList.js", "JavaScript", 0, 0, 36, 0, 5, 41
"e:\FYP-WORK\FypApp\src\components\pickerComponent.js", "JavaScript", 0, 0, 188, 0, 5, 193
"e:\FYP-WORK\FypApp\src\components\pickerItems.js", "JavaScript", 0, 0, 20, 0, 2, 22
"e:\FYP-WORK\FypApp\src\components\picker\AppPicker.js", "JavaScript", 0, 0, 86, 0, 5, 91
"e:\FYP-WORK\FypApp\src\components\picker\PickerItem.js", "JavaScript", 0, 0, 19, 0, 5, 24
"e:\FYP-WORK\FypApp\src\constants\CitiesNames.js", "JavaScript", 0, 0, 327, 0, 1, 328
"e:\FYP-WORK\FypApp\src\constants\CountriesNames.js", "JavaScript", 0, 0, 54, 0, 1, 55
"e:\FYP-WORK\FypApp\src\constants\CricketTournamentsList.js", "JavaScript", 0, 0, 30, 0, 1, 31
